                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.979,                 2.3973,                 1.8767,                  1.945,                 2.8665,                 1.7306,                0.38237,                0.28693,                0.23123,                0.09475,                 2.0927,                 2.4968,                 2.0158,                 2.0149,                  3.009,                 1.8729,               0.009274,               0.009274,               0.009274
                     25,                 1.9816,                 2.3928,                 1.8811,                 1.9599,                 2.8618,                 1.7407,                0.36474,                0.30652,                0.25179,                0.10815,                 2.0541,                 2.4455,                 2.0299,                 1.9962,                 2.9184,                 1.8855,               0.009241,               0.009241,               0.009241
                     26,                 1.9592,                 2.3633,                 1.8639,                   1.93,                 2.8211,                 1.7254,                0.36588,                0.29712,                0.24865,                0.10271,                 2.0355,                 2.4031,                 2.0032,                 1.9673,                 2.8364,                 1.8648,               0.009208,               0.009208,               0.009208
                     27,                 1.9504,                 2.3518,                 1.8584,                 1.9257,                  2.817,                 1.7211,                0.39101,                0.30392,                 0.2615,                0.11122,                 2.0529,                 2.5082,                 2.0091,                 1.9933,                 2.9417,                 1.8544,               0.009175,               0.009175,               0.009175
                     28,                 1.9447,                 2.3265,                 1.8348,                 1.9265,                 2.7937,                 1.6832,                0.39088,                0.33551,                0.27559,                0.11988,                 2.0281,                 2.3668,                 1.9825,                 1.9603,                  2.793,                 1.8335,               0.009142,               0.009142,               0.009142
                     29,                 1.9414,                 2.2923,                  1.846,                  1.913,                 2.7586,                 1.7007,                0.37354,                0.33646,                0.26417,                0.11219,                 2.0286,                 2.3719,                 1.9831,                 1.9884,                   2.83,                 1.8638,               0.009109,               0.009109,               0.009109
                     30,                 1.9274,                 2.2752,                 1.8336,                 1.8866,                 2.7548,                  1.696,                0.35879,                0.33417,                0.25988,                0.11421,                 2.0426,                 2.3691,                 2.0088,                 1.9993,                 2.7918,                 1.8808,               0.009076,               0.009076,               0.009076
                     31,                 1.9261,                  2.291,                 1.8326,                 1.9027,                 2.7556,                 1.6956,                0.42562,                0.31418,                0.27535,                0.12324,                 2.0053,                 2.3133,                 1.9477,                 1.9629,                 2.7624,                 1.8302,               0.009043,               0.009043,               0.009043
                     32,                  1.934,                 2.2821,                 1.8442,                 1.9129,                 2.7456,                 1.7115,                0.38703,                0.32593,                  0.271,                0.11922,                  2.003,                 2.3184,                   1.96,                 1.9556,                 2.7374,                 1.8394,                0.00901,                0.00901,                0.00901
                     33,                 1.9102,                 2.2347,                 1.8079,                 1.9013,                 2.6928,                 1.6807,                0.41394,                0.32943,                0.28392,                0.12532,                 1.9849,                 2.2643,                 1.9339,                 1.9332,                 2.7018,                 1.8147,               0.008977,               0.008977,               0.008977
                     34,                  1.903,                 2.2326,                 1.8092,                 1.8932,                  2.693,                 1.6876,                0.42323,                0.34816,                  0.285,                0.12878,                 2.0125,                 2.2631,                 1.9425,                 1.9558,                 2.7096,                 1.8156,               0.008944,               0.008944,               0.008944
                     35,                 1.8934,                 2.2114,                 1.8002,                 1.8814,                 2.6606,                 1.6736,                0.44768,                0.34091,                 0.3069,                   0.14,                  1.964,                 2.2546,                 1.9253,                 1.9151,                 2.6872,                 1.8187,               0.008911,               0.008911,               0.008911
                     36,                 1.8869,                 2.2004,                 1.7879,                 1.8733,                 2.6443,                 1.6622,                0.41888,                0.35655,                0.29028,                 0.1327,                 1.9496,                 2.2104,                  1.923,                 1.9225,                 2.6424,                 1.8158,               0.008878,               0.008878,               0.008878
                     37,                 1.8738,                 2.1671,                 1.7824,                 1.8633,                 2.6053,                 1.6538,                0.42534,                0.34365,                 0.2952,                0.13438,                 1.9617,                 2.2884,                 1.9119,                 1.9188,                 2.7182,                 1.8002,               0.008845,               0.008845,               0.008845
                     38,                 1.8655,                 2.1467,                 1.7836,                 1.8577,                 2.5815,                 1.6551,                0.42505,                0.34097,                0.30995,                0.14771,                 1.9369,                 2.1924,                  1.923,                 1.8892,                 2.6033,                 1.7934,               0.008812,               0.008812,               0.008812
                     39,                 1.8616,                 2.1591,                 1.7955,                  1.852,                 2.6019,                 1.6722,                0.44405,                0.33951,                0.30281,                0.14802,                 1.9508,                 2.1549,                 1.9473,                 1.9127,                 2.5885,                  1.819,               0.008779,               0.008779,               0.008779
                     40,                 1.8616,                  2.138,                 1.7705,                 1.8641,                 2.5679,                 1.6484,                0.45982,                0.35379,                 0.3195,                0.14451,                 1.9331,                 2.1473,                 1.9073,                 1.9067,                 2.5703,                 1.7937,               0.008746,               0.008746,               0.008746
                     41,                 1.8376,                 2.0907,                 1.7506,                 1.8507,                 2.5201,                 1.6459,                 0.4805,                 0.3652,                0.33334,                0.15286,                 1.9413,                 2.1777,                 1.9088,                 1.9373,                 2.5483,                  1.814,               0.008713,               0.008713,               0.008713
                     42,                 1.8416,                 2.1031,                 1.7576,                 1.8437,                 2.5331,                 1.6376,                0.47363,                0.35625,                0.33661,                0.16074,                 1.9228,                 2.1193,                 1.8757,                 1.9227,                 2.5078,                 1.7922,                0.00868,                0.00868,                0.00868
                     43,                  1.831,                 2.0811,                 1.7481,                 1.8357,                 2.5009,                 1.6336,                0.44907,                0.36457,                0.32996,                0.15714,                 1.9398,                 2.1608,                 1.9031,                 1.9151,                 2.5473,                 1.7858,               0.008647,               0.008647,               0.008647
                     44,                 1.8208,                 2.1006,                 1.7495,                 1.8259,                 2.5339,                 1.6421,                0.46425,                 0.3563,                0.32253,                0.15087,                 1.9363,                 2.1136,                  1.887,                 1.9107,                 2.5284,                 1.8108,               0.008614,               0.008614,               0.008614
                     45,                 1.8122,                 2.0479,                 1.7298,                 1.8308,                 2.4549,                 1.6281,                0.48819,                 0.3529,                0.33775,                0.15903,                 1.9187,                 2.1078,                 1.8759,                 1.9001,                 2.5157,                 1.7725,               0.008581,               0.008581,               0.008581
                     46,                  1.821,                 2.0329,                 1.7409,                 1.8383,                  2.459,                  1.641,                0.48434,                0.36543,                0.33088,                 0.1566,                 1.9193,                 2.0994,                 1.8579,                 1.9222,                 2.5386,                 1.7714,               0.008548,               0.008548,               0.008548
                     47,                  1.815,                 2.0189,                 1.7233,                 1.8299,                  2.456,                 1.6354,                0.49225,                0.36782,                0.35302,                0.16265,                  1.908,                 2.0479,                  1.878,                 1.9121,                  2.444,                 1.8054,               0.008515,               0.008515,               0.008515
                     48,                  1.809,                 2.0381,                 1.7266,                 1.8249,                 2.4644,                 1.6351,                 0.4861,                0.39869,                0.35956,                0.16737,                 1.9119,                 2.0549,                 1.8671,                 1.8943,                 2.4685,                 1.7811,               0.008482,               0.008482,               0.008482
                     49,                 1.7992,                 2.0036,                 1.7198,                 1.8218,                 2.4218,                 1.6345,                0.50014,                0.37403,                0.34756,                0.16632,                 1.8967,                 2.0433,                 1.8311,                 1.8935,                  2.452,                 1.7573,               0.008449,               0.008449,               0.008449
                     50,                 1.7856,                 1.9734,                 1.7002,                 1.8215,                 2.3828,                  1.619,                0.53725,                0.38851,                0.36754,                0.17163,                 1.8872,                 2.0217,                 1.8423,                 1.8991,                 2.4004,                 1.7739,               0.008416,               0.008416,               0.008416
                     51,                 1.7982,                 1.9796,                 1.7103,                   1.81,                 2.4051,                 1.6194,                0.53006,                0.38639,                0.38068,                0.18705,                  1.856,                 1.9912,                 1.8339,                 1.8691,                 2.3666,                 1.7523,               0.008383,               0.008383,               0.008383
                     52,                  1.801,                 1.9766,                 1.7158,                 1.8244,                 2.4031,                 1.6199,                0.48863,                0.39382,                0.36321,                0.17386,                 1.8863,                 2.0751,                 1.8456,                 1.8792,                   2.47,                 1.7563,                0.00835,                0.00835,                0.00835
                     53,                 1.7587,                 1.9587,                 1.7013,                  1.783,                 2.3554,                 1.6155,                0.53515,                0.38738,                0.38423,                0.18578,                 1.8678,                  1.986,                 1.8298,                 1.8849,                 2.3806,                 1.7481,               0.008317,               0.008317,               0.008317
                     54,                 1.7851,                 1.9434,                 1.7045,                 1.8014,                 2.3536,                 1.6156,                0.51993,                0.37201,                0.36526,                0.18032,                 1.8566,                 2.0009,                 1.8121,                 1.8798,                   2.39,                 1.7508,               0.008284,               0.008284,               0.008284
                     55,                 1.7711,                 1.9249,                 1.6879,                 1.8063,                 2.3283,                 1.6098,                0.50452,                 0.4168,                0.38197,                0.18547,                 1.8672,                 1.9573,                 1.8311,                 1.8816,                 2.3176,                 1.7653,               0.008251,               0.008251,               0.008251
                     56,                 1.7554,                 1.9151,                 1.6804,                   1.78,                 2.3282,                 1.5903,                0.51512,                0.39483,                0.37828,                0.18623,                 1.8414,                 1.9608,                 1.8162,                 1.8415,                 2.3462,                 1.7258,               0.008218,               0.008218,               0.008218
