                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.5433,                 1.5248,                 1.5076,                 1.6353,                 1.8659,                  1.481,                0.61322,                0.45754,                0.46797,                 0.2642,                 1.6305,                 1.6084,                 1.6379,                 1.7106,                 1.9599,                 1.6279,               0.006667,               0.006667,               0.006667
                    104,                 1.5427,                 1.4993,                 1.4901,                 1.6491,                 1.8149,                  1.463,                0.60678,                0.47445,                0.48163,                0.26962,                 1.6282,                 1.6071,                 1.6381,                 1.7042,                 1.9513,                 1.6103,               0.006634,               0.006634,               0.006634
                    105,                 1.5346,                 1.4904,                 1.4941,                 1.6268,                 1.8158,                  1.461,                0.62063,                0.47685,                0.48579,                0.27147,                 1.6388,                  1.618,                 1.6429,                 1.7142,                 1.9595,                 1.6196,               0.006601,               0.006601,               0.006601
                    106,                 1.5023,                 1.4372,                 1.4664,                 1.6075,                 1.7513,                 1.4466,                0.61875,                0.47217,                0.48437,                0.26938,                  1.628,                 1.5839,                 1.6332,                 1.7073,                 1.9456,                 1.6134,               0.006568,               0.006568,               0.006568
                    107,                 1.5344,                 1.4773,                 1.4889,                 1.6298,                 1.8172,                 1.4572,                 0.6223,                0.47629,                0.48496,                0.26939,                 1.6316,                 1.6077,                 1.6369,                 1.7185,                 1.9552,                 1.6127,               0.006535,               0.006535,               0.006535
                    108,                 1.5233,                 1.4695,                 1.4792,                 1.6318,                 1.7963,                 1.4552,                0.65238,                0.48808,                0.49175,                0.27824,                 1.6169,                 1.5836,                 1.6311,                 1.6905,                 1.9342,                 1.6115,               0.006502,               0.006502,               0.006502
                    109,                 1.5282,                 1.4686,                 1.4831,                 1.6315,                 1.7951,                 1.4543,                0.63047,                0.47723,                0.47928,                0.27589,                 1.6298,                 1.5736,                 1.6336,                  1.703,                 1.9393,                 1.6077,               0.006469,               0.006469,               0.006469
                    110,                 1.5068,                 1.4486,                 1.4695,                 1.5957,                 1.7734,                  1.446,                0.62123,                0.48291,                 0.4873,                0.27349,                 1.6219,                 1.5807,                  1.633,                 1.6993,                 1.9486,                 1.6219,               0.006436,               0.006436,               0.006436
                    111,                 1.5229,                 1.4625,                  1.475,                 1.6194,                 1.7878,                 1.4458,                 0.6196,                0.47361,                0.48769,                0.28059,                 1.6228,                 1.5799,                 1.6327,                 1.7036,                 1.9476,                 1.6166,               0.006403,               0.006403,               0.006403
                    112,                 1.4942,                 1.4328,                 1.4636,                 1.5927,                 1.7412,                 1.4416,                0.62888,                 0.4774,                0.48947,                 0.2802,                 1.6113,                  1.572,                 1.6205,                 1.7064,                 1.9093,                 1.6187,                0.00637,                0.00637,                0.00637
                    113,                 1.5073,                 1.4431,                 1.4675,                 1.6082,                 1.7638,                 1.4426,                 0.6379,                0.47806,                0.49973,                0.28669,                 1.6034,                 1.5687,                 1.6152,                 1.7107,                 1.9009,                 1.6167,               0.006337,               0.006337,               0.006337
                    114,                 1.5027,                 1.4193,                 1.4584,                 1.6138,                  1.743,                 1.4384,                0.62692,                0.49391,                0.49946,                0.28345,                  1.605,                 1.5633,                 1.6102,                 1.7037,                 1.9149,                 1.6069,               0.006304,               0.006304,               0.006304
                    115,                 1.4988,                 1.4446,                 1.4535,                 1.5973,                 1.7731,                 1.4326,                 0.6375,                0.48848,                0.49864,                0.28788,                 1.5919,                  1.555,                 1.6063,                 1.6872,                 1.8913,                 1.5974,               0.006271,               0.006271,               0.006271
                    116,                 1.5074,                 1.4317,                 1.4636,                 1.6067,                 1.7449,                 1.4399,                0.61531,                0.49448,                0.49664,                0.28651,                 1.5983,                 1.5382,                 1.6155,                 1.6751,                  1.887,                 1.6003,               0.006238,               0.006238,               0.006238
                    117,                 1.4918,                 1.4021,                 1.4549,                 1.5942,                 1.7268,                 1.4338,                0.63077,                0.49049,                0.49919,                0.28783,                 1.5973,                 1.5403,                 1.6146,                 1.6764,                 1.8892,                    1.6,               0.006205,               0.006205,               0.006205
                    118,                 1.4978,                 1.4035,                 1.4525,                 1.6104,                 1.6987,                 1.4317,                0.63343,                0.48642,                0.49874,                 0.2875,                 1.6005,                 1.5381,                 1.6141,                 1.6892,                 1.8873,                 1.6095,               0.006172,               0.006172,               0.006172
                    119,                  1.483,                 1.4102,                 1.4485,                 1.5933,                 1.7212,                 1.4282,                0.64183,                0.46631,                0.49639,                0.28689,                  1.592,                  1.548,                  1.609,                 1.6779,                 1.8926,                 1.5953,               0.006139,               0.006139,               0.006139
                    120,                 1.4817,                 1.4006,                 1.4485,                 1.5868,                 1.7269,                 1.4249,                 0.6223,                0.49584,                0.50469,                0.28858,                 1.5924,                 1.5376,                 1.6011,                 1.6801,                 1.8776,                   1.59,               0.006106,               0.006106,               0.006106
                    121,                 1.4854,                 1.4087,                 1.4502,                 1.5893,                 1.7243,                 1.4326,                0.64523,                0.49757,                0.51239,                0.29383,                 1.5774,                 1.5255,                  1.596,                 1.6596,                 1.8656,                 1.5816,               0.006073,               0.006073,               0.006073
                    122,                 1.4785,                 1.3974,                 1.4478,                 1.5801,                 1.7092,                 1.4248,                0.64371,                0.50357,                0.50931,                 0.2948,                 1.5714,                 1.5254,                 1.5913,                 1.6558,                 1.8764,                  1.583,                0.00604,                0.00604,                0.00604
                    123,                 1.4808,                 1.3919,                 1.4381,                 1.5972,                 1.7126,                  1.411,                0.65893,                0.49658,                0.51723,                0.29894,                 1.5816,                 1.5239,                 1.5977,                  1.674,                 1.8586,                 1.5882,               0.006007,               0.006007,               0.006007
                    124,                 1.4758,                 1.3817,                  1.439,                 1.5823,                 1.7009,                 1.4195,                0.64014,                0.48307,                0.50682,                0.29462,                 1.5736,                 1.5177,                  1.597,                 1.6688,                 1.8557,                 1.5913,               0.005974,               0.005974,               0.005974
                    125,                 1.4717,                 1.3799,                 1.4379,                 1.5814,                 1.6871,                 1.4192,                0.62849,                0.50593,                 0.5046,                0.29239,                 1.5772,                 1.5232,                 1.5909,                 1.6779,                 1.8692,                 1.5909,               0.005941,               0.005941,               0.005941
                    126,                 1.4657,                 1.3852,                 1.4289,                 1.5766,                 1.6844,                 1.4114,                0.61866,                0.50549,                0.50673,                0.29681,                 1.5723,                 1.5024,                 1.5867,                 1.6823,                 1.8468,                  1.594,               0.005908,               0.005908,               0.005908
                    127,                 1.4794,                 1.3872,                 1.4445,                 1.5922,                 1.7028,                 1.4282,                0.65107,                0.50162,                0.51523,                0.30283,                 1.5479,                 1.4909,                 1.5768,                 1.6642,                 1.8238,                 1.5898,               0.005875,               0.005875,               0.005875
                    128,                  1.459,                 1.3463,                 1.4285,                 1.5727,                 1.6498,                  1.414,                0.64178,                0.49395,                0.50953,                0.29881,                 1.5501,                 1.4878,                 1.5806,                 1.6598,                 1.8225,                 1.5917,               0.005842,               0.005842,               0.005842
                    129,                 1.4444,                 1.3415,                 1.4172,                 1.5581,                 1.6364,                 1.4074,                0.64906,                0.50723,                0.51915,                0.29957,                 1.5557,                 1.4894,                 1.5822,                 1.6788,                 1.8121,                 1.5947,               0.005809,               0.005809,               0.005809
                    130,                 1.4426,                 1.3386,                 1.4095,                 1.5582,                 1.6326,                 1.4033,                0.64742,                 0.5087,                0.51362,                0.29977,                  1.555,                 1.4834,                 1.5744,                 1.6644,                 1.8268,                 1.5832,               0.005776,               0.005776,               0.005776
                    131,                 1.4551,                 1.3412,                 1.4132,                 1.5615,                 1.6385,                 1.4027,                0.63906,                0.52232,                0.52221,                0.30597,                 1.5511,                 1.4797,                  1.571,                 1.6582,                  1.813,                 1.5754,               0.005743,               0.005743,               0.005743
                    132,                 1.4461,                 1.3343,                 1.4087,                 1.5614,                 1.6285,                 1.4019,                0.65869,                0.50362,                0.51898,                0.30399,                 1.5388,                 1.4803,                 1.5655,                 1.6593,                 1.8118,                 1.5787,                0.00571,                0.00571,                0.00571
                    133,                 1.4442,                 1.3346,                 1.4095,                 1.5609,                 1.6301,                 1.4035,                0.65558,                0.50149,                0.51927,                0.30176,                 1.5516,                  1.482,                 1.5751,                 1.6585,                 1.8247,                  1.588,               0.005677,               0.005677,               0.005677
                    134,                 1.4433,                 1.3229,                  1.415,                 1.5626,                 1.6077,                 1.4094,                0.62477,                0.51067,                0.51688,                0.30337,                 1.5373,                  1.485,                 1.5607,                 1.6507,                 1.8151,                 1.5811,               0.005644,               0.005644,               0.005644
                    135,                 1.4472,                 1.3398,                 1.4195,                 1.5626,                 1.6468,                 1.4191,                0.63383,                0.50491,                0.51494,                0.30423,                 1.5382,                  1.484,                  1.564,                 1.6495,                 1.8182,                 1.5811,               0.005611,               0.005611,               0.005611
                    136,                 1.4302,                 1.3133,                 1.4095,                 1.5489,                 1.6066,                 1.4065,                0.65468,                0.50662,                0.51876,                0.30583,                 1.5403,                 1.4865,                 1.5684,                 1.6461,                 1.8265,                 1.5818,               0.005578,               0.005578,               0.005578
                    137,                  1.424,                  1.314,                 1.4032,                 1.5455,                 1.5837,                 1.4005,                0.61249,                0.50733,                0.51172,                0.30355,                 1.5414,                 1.4839,                 1.5712,                 1.6418,                  1.839,                  1.584,               0.005545,               0.005545,               0.005545
                    138,                 1.4226,                 1.3011,                 1.3946,                 1.5402,                 1.5951,                  1.388,                0.61113,                0.51919,                0.51883,                0.30552,                 1.5385,                 1.4671,                 1.5667,                 1.6458,                 1.8249,                 1.5837,               0.005512,               0.005512,               0.005512
                    139,                 1.4326,                 1.3073,                 1.4001,                 1.5579,                 1.6022,                 1.3968,                0.61925,                0.51777,                0.51429,                0.30644,                 1.5405,                  1.478,                 1.5646,                 1.6457,                 1.8278,                 1.5737,               0.005479,               0.005479,               0.005479
                    140,                 1.4189,                 1.3125,                 1.3894,                 1.5394,                 1.6058,                 1.3857,                 0.6532,                0.48981,                0.51028,                0.30218,                 1.5392,                 1.4825,                 1.5626,                 1.6468,                 1.8258,                 1.5696,               0.005446,               0.005446,               0.005446
                    141,                 1.4249,                 1.3121,                 1.4014,                 1.5463,                 1.5986,                 1.3951,                0.62205,                0.51744,                0.51558,                0.30575,                 1.5393,                 1.4705,                 1.5617,                 1.6526,                 1.8072,                 1.5718,               0.005413,               0.005413,               0.005413
                    142,                 1.4146,                 1.2868,                 1.3843,                  1.544,                 1.5833,                 1.3753,                  0.625,                0.51887,                0.51611,                 0.3046,                 1.5373,                 1.4659,                 1.5602,                 1.6578,                 1.8076,                 1.5707,                0.00538,                0.00538,                0.00538
                    143,                 1.4128,                 1.2899,                 1.3927,                 1.5242,                 1.5657,                 1.3867,                0.64276,                0.51938,                0.52371,                0.31252,                 1.5325,                 1.4582,                 1.5557,                 1.6448,                 1.8132,                 1.5658,               0.005347,               0.005347,               0.005347
                    144,                 1.4196,                  1.292,                 1.3942,                 1.5574,                 1.5693,                 1.3923,                0.64385,                0.51644,                 0.5237,                0.31223,                 1.5248,                 1.4513,                 1.5521,                 1.6385,                 1.7989,                   1.56,               0.005314,               0.005314,               0.005314
                    145,                 1.4144,                 1.2879,                 1.3879,                 1.5435,                 1.5761,                 1.3845,                0.63478,                 0.5298,                0.52691,                0.31588,                 1.5223,                 1.4513,                 1.5509,                 1.6318,                 1.7866,                 1.5533,               0.005281,               0.005281,               0.005281
                    146,                 1.4053,                 1.2759,                 1.3809,                 1.5332,                 1.5542,                 1.3774,                0.62379,                0.53729,                0.52497,                0.31719,                 1.5202,                 1.4549,                 1.5497,                 1.6357,                 1.7764,                  1.564,               0.005248,               0.005248,               0.005248
                    147,                 1.4137,                 1.2707,                 1.3861,                 1.5375,                 1.5553,                 1.3827,                0.61431,                0.53737,                0.52841,                0.32038,                 1.5213,                 1.4469,                  1.554,                 1.6392,                 1.7808,                 1.5655,               0.005215,               0.005215,               0.005215
                    148,                   1.39,                 1.2721,                 1.3767,                 1.5105,                 1.5408,                 1.3704,                0.63894,                0.53428,                0.53624,                0.32203,                 1.5288,                 1.4497,                 1.5556,                 1.6485,                 1.7632,                 1.5655,               0.005182,               0.005182,               0.005182
                    149,                 1.4106,                 1.2911,                 1.3903,                 1.5382,                 1.5618,                  1.385,                0.63225,                 0.5253,                 0.5331,                0.32057,                 1.5321,                 1.4485,                 1.5606,                 1.6446,                 1.7522,                 1.5738,               0.005149,               0.005149,               0.005149
                    150,                 1.3989,                 1.2724,                 1.3831,                 1.5278,                 1.5443,                 1.3855,                0.65977,                0.51332,                0.53006,                 0.3192,                 1.5236,                 1.4451,                 1.5552,                 1.6382,                 1.7694,                 1.5689,               0.005116,               0.005116,               0.005116
                    151,                 1.3739,                 1.2444,                 1.3657,                 1.5073,                 1.5107,                 1.3733,                0.64491,                0.52198,                0.52531,                0.32121,                 1.5078,                 1.4392,                 1.5496,                  1.636,                 1.7633,                  1.569,               0.005083,               0.005083,               0.005083
                    152,                 1.3917,                  1.248,                 1.3735,                 1.5188,                 1.5069,                 1.3664,                0.64182,                0.53504,                0.53314,                0.32341,                 1.5092,                 1.4359,                 1.5531,                 1.6296,                 1.7661,                 1.5667,                0.00505,                0.00505,                0.00505
                    153,                 1.3904,                 1.2563,                 1.3778,                 1.5152,                 1.5447,                 1.3771,                0.66364,                0.52715,                0.52878,                0.31867,                 1.5126,                 1.4424,                  1.551,                 1.6402,                 1.7718,                 1.5727,               0.005017,               0.005017,               0.005017
                    154,                 1.3854,                 1.2468,                 1.3663,                 1.5164,                  1.531,                 1.3637,                0.65014,                0.52786,                 0.5249,                0.31878,                 1.5139,                 1.4503,                 1.5512,                 1.6268,                 1.7931,                 1.5586,               0.004984,               0.004984,               0.004984
                    155,                 1.3737,                 1.2165,                 1.3604,                 1.4939,                 1.4729,                 1.3604,                0.67137,                0.50758,                0.52434,                0.32004,                 1.5059,                 1.4491,                 1.5444,                 1.6257,                 1.7778,                 1.5607,               0.004951,               0.004951,               0.004951
                    156,                 1.3599,                 1.2327,                   1.36,                 1.4921,                 1.5012,                 1.3646,                0.64547,                0.52004,                0.52488,                0.31926,                 1.5059,                 1.4433,                 1.5449,                 1.6299,                  1.771,                  1.565,               0.004918,               0.004918,               0.004918
                    157,                 1.3611,                 1.2213,                 1.3484,                 1.4798,                 1.4884,                 1.3524,                0.66233,                0.51774,                0.52243,                0.31989,                 1.5075,                  1.439,                 1.5429,                 1.6267,                 1.7718,                  1.562,               0.004885,               0.004885,               0.004885
                    158,                 1.3769,                 1.2189,                 1.3514,                 1.5009,                 1.4877,                 1.3565,                0.64627,                0.53149,                0.52669,                0.32147,                 1.5102,                 1.4418,                 1.5471,                 1.6262,                 1.7753,                 1.5629,               0.004852,               0.004852,               0.004852
                    159,                  1.376,                 1.2323,                 1.3609,                 1.4994,                 1.4916,                 1.3606,                0.64297,                0.53248,                0.52939,                0.32353,                 1.5102,                  1.436,                 1.5448,                   1.62,                 1.7821,                 1.5622,               0.004819,               0.004819,               0.004819
                    160,                 1.3806,                 1.2379,                 1.3662,                 1.5071,                 1.5028,                 1.3661,                0.64013,                0.53782,                0.52947,                0.32252,                 1.5079,                 1.4336,                 1.5434,                 1.6162,                 1.7869,                 1.5551,               0.004786,               0.004786,               0.004786
                    161,                 1.3839,                 1.2317,                 1.3664,                 1.5122,                 1.4826,                  1.369,                0.64317,                0.53786,                0.53345,                0.32452,                 1.5028,                 1.4297,                 1.5381,                 1.6196,                 1.7679,                 1.5584,               0.004753,               0.004753,               0.004753
                    162,                 1.3642,                 1.2168,                  1.358,                 1.4946,                 1.4776,                 1.3587,                 0.6634,                0.53093,                0.53486,                0.32577,                 1.5004,                 1.4303,                 1.5359,                 1.6108,                 1.7688,                  1.558,                0.00472,                0.00472,                0.00472
                    163,                 1.3677,                 1.2081,                  1.353,                 1.4982,                 1.4773,                 1.3541,                0.66641,                0.53292,                0.53693,                0.32644,                 1.4981,                 1.4276,                 1.5345,                 1.6064,                 1.7705,                 1.5548,               0.004687,               0.004687,               0.004687
                    164,                 1.3653,                 1.2088,                 1.3477,                 1.4897,                 1.4762,                 1.3475,                0.67811,                0.52584,                0.53673,                0.32903,                 1.5004,                 1.4291,                 1.5354,                 1.6085,                 1.7725,                 1.5554,               0.004654,               0.004654,               0.004654
                    165,                 1.3551,                 1.1956,                 1.3417,                 1.4869,                 1.4524,                  1.342,                0.66096,                0.53713,                0.53275,                 0.3277,                 1.4973,                 1.4342,                 1.5357,                 1.6037,                 1.7783,                 1.5571,               0.004621,               0.004621,               0.004621
                    166,                 1.3466,                 1.1903,                  1.338,                 1.4781,                 1.4572,                 1.3439,                0.67032,                0.53679,                0.53714,                0.32849,                  1.497,                 1.4322,                 1.5359,                 1.6019,                 1.7729,                 1.5535,               0.004588,               0.004588,               0.004588
                    167,                 1.3545,                  1.189,                 1.3381,                 1.4861,                 1.4527,                 1.3423,                0.66345,                0.53976,                0.53776,                0.32718,                 1.4952,                 1.4248,                 1.5377,                 1.6124,                 1.7555,                 1.5559,               0.004555,               0.004555,               0.004555
                    168,                 1.3433,                 1.1906,                 1.3307,                 1.4727,                 1.4638,                 1.3346,                0.66145,                0.53835,                0.53808,                0.32571,                 1.4946,                 1.4213,                 1.5371,                 1.6231,                 1.7455,                 1.5594,               0.004522,               0.004522,               0.004522
                    169,                  1.348,                 1.1886,                 1.3414,                 1.4688,                 1.4469,                 1.3431,                0.66337,                0.53559,                0.53531,                0.32541,                 1.4984,                 1.4208,                 1.5395,                 1.6153,                 1.7582,                 1.5559,               0.004489,               0.004489,               0.004489
                    170,                 1.3585,                 1.1919,                 1.3383,                 1.4859,                 1.4452,                 1.3356,                0.65979,                0.53986,                0.54003,                0.32842,                 1.4979,                 1.4196,                 1.5386,                 1.6164,                 1.7517,                 1.5585,               0.004456,               0.004456,               0.004456
                    171,                 1.3527,                 1.1854,                 1.3422,                 1.4856,                 1.4422,                 1.3473,                0.64505,                0.54386,                0.53858,                0.32804,                 1.5014,                 1.4252,                 1.5403,                 1.6189,                 1.7479,                  1.555,               0.004423,               0.004423,               0.004423
                    172,                 1.3309,                 1.1734,                 1.3213,                 1.4549,                 1.4346,                 1.3277,                0.66314,                0.53722,                 0.5402,                0.32862,                 1.5012,                 1.4204,                   1.54,                 1.6139,                 1.7568,                 1.5503,                0.00439,                0.00439,                0.00439
                    173,                  1.335,                 1.1695,                 1.3311,                  1.459,                 1.4173,                 1.3335,                0.66869,                 0.5327,                0.53673,                0.32958,                 1.4954,                 1.4192,                 1.5384,                 1.6053,                 1.7649,                 1.5476,               0.004357,               0.004357,               0.004357
                    174,                 1.3487,                 1.1763,                 1.3324,                 1.4817,                 1.4376,                 1.3386,                0.66115,                0.54246,                0.53622,                 0.3299,                 1.4937,                 1.4195,                 1.5362,                  1.596,                 1.7713,                 1.5436,               0.004324,               0.004324,               0.004324
                    175,                 1.3318,                 1.1581,                 1.3263,                 1.4638,                 1.4129,                 1.3336,                0.65979,                0.54469,                0.53571,                0.32993,                 1.4897,                 1.4159,                 1.5335,                 1.5999,                 1.7614,                 1.5512,               0.004291,               0.004291,               0.004291
                    176,                 1.3238,                 1.1414,                 1.3187,                 1.4589,                 1.3715,                 1.3245,                0.64622,                0.54412,                0.53511,                0.33012,                 1.4917,                 1.4177,                 1.5358,                 1.6023,                 1.7548,                 1.5512,               0.004258,               0.004258,               0.004258
                    177,                 1.3221,                 1.1562,                 1.3178,                 1.4545,                 1.4071,                 1.3241,                0.65684,                0.54733,                0.53551,                0.33114,                 1.4934,                 1.4181,                 1.5363,                 1.6003,                  1.762,                 1.5465,               0.004225,               0.004225,               0.004225
                    178,                 1.3103,                 1.1331,                 1.3063,                 1.4348,                 1.3839,                 1.3158,                0.65966,                 0.5424,                0.53446,                0.32973,                 1.4936,                 1.4185,                 1.5369,                 1.6023,                 1.7571,                 1.5456,               0.004192,               0.004192,               0.004192
                    179,                 1.3233,                 1.1455,                 1.3238,                 1.4505,                 1.3964,                 1.3249,                0.64146,                0.54683,                0.53418,                0.33052,                 1.4889,                 1.4158,                 1.5348,                 1.5966,                 1.7568,                 1.5407,               0.004159,               0.004159,               0.004159
                    180,                 1.3304,                 1.1591,                 1.3201,                 1.4616,                 1.4163,                 1.3264,                0.65161,                0.54068,                0.53485,                0.33237,                 1.4847,                 1.4098,                 1.5315,                 1.5918,                 1.7567,                 1.5377,               0.004126,               0.004126,               0.004126
                    181,                 1.2996,                  1.124,                 1.3034,                 1.4374,                 1.3657,                  1.306,                0.65078,                0.55121,                0.53265,                0.33068,                 1.4842,                 1.4082,                 1.5324,                 1.5928,                 1.7468,                 1.5383,               0.004093,               0.004093,               0.004093
                    182,                 1.3122,                 1.1395,                 1.3145,                 1.4426,                 1.3853,                 1.3141,                0.65575,                0.55572,                0.53822,                0.33399,                 1.4856,                 1.4091,                 1.5332,                 1.5899,                 1.7511,                 1.5365,                0.00406,                0.00406,                0.00406
                    183,                 1.2987,                 1.1294,                 1.2983,                 1.4304,                 1.3758,                 1.3031,                0.65899,                0.55381,                0.53935,                0.33461,                 1.4841,                  1.407,                 1.5301,                 1.5962,                 1.7426,                 1.5414,               0.004027,               0.004027,               0.004027
                    184,                 1.2989,                  1.124,                 1.3031,                 1.4332,                 1.3695,                 1.3114,                0.66306,                0.54603,                0.54254,                0.33618,                 1.4828,                 1.4044,                 1.5295,                 1.5964,                 1.7332,                 1.5421,               0.003994,               0.003994,               0.003994
                    185,                 1.3083,                 1.1331,                 1.3029,                 1.4484,                 1.3841,                 1.3084,                0.65682,                0.55139,                0.54177,                0.33621,                 1.4832,                 1.4017,                 1.5293,                 1.5967,                 1.7324,                  1.539,               0.003961,               0.003961,               0.003961
                    186,                 1.2868,                 1.1171,                 1.2971,                 1.4151,                 1.3631,                 1.3038,                0.67976,                 0.5359,                0.53923,                0.33487,                 1.4819,                 1.4033,                 1.5294,                 1.5986,                 1.7302,                 1.5443,               0.003928,               0.003928,               0.003928
                    187,                 1.2989,                 1.1306,                 1.3031,                 1.4202,                 1.3783,                 1.3045,                0.66624,                0.53635,                 0.5399,                0.33416,                 1.4826,                 1.4031,                 1.5314,                 1.5973,                 1.7337,                 1.5405,               0.003895,               0.003895,               0.003895
                    188,                 1.2981,                 1.1123,                 1.2986,                 1.4239,                 1.3632,                 1.3008,                0.67856,                0.53701,                0.54154,                0.33575,                 1.4816,                 1.4028,                 1.5304,                  1.595,                 1.7322,                 1.5396,               0.003862,               0.003862,               0.003862
                    189,                 1.2956,                  1.105,                 1.2976,                 1.4249,                 1.3609,                 1.2986,                0.67043,                0.53546,                 0.5401,                 0.3356,                 1.4809,                 1.4036,                 1.5305,                 1.5934,                 1.7358,                  1.538,               0.003829,               0.003829,               0.003829
                    190,                 1.2842,                 1.0958,                 1.2836,                 1.4067,                 1.3339,                 1.2866,                0.65918,                0.54425,                0.54081,                0.33431,                 1.4792,                 1.4022,                 1.5293,                  1.594,                  1.739,                 1.5374,               0.003796,               0.003796,               0.003796
                    191,                 1.2772,                 1.0955,                 1.2902,                 1.4157,                 1.3356,                 1.2999,                0.66197,                0.54654,                0.54261,                0.33554,                 1.4793,                 1.4005,                 1.5304,                 1.5928,                 1.7298,                 1.5376,               0.003763,               0.003763,               0.003763
                    192,                 1.2668,                 1.0813,                 1.2741,                 1.4039,                 1.3022,                 1.2849,                 0.6687,                 0.5356,                 0.5442,                0.33677,                 1.4754,                 1.3988,                 1.5274,                  1.588,                 1.7254,                 1.5349,                0.00373,                0.00373,                0.00373
                    193,                 1.2819,                 1.0916,                 1.3032,                 1.4185,                 1.3282,                 1.3135,                0.66451,                0.54035,                0.54377,                  0.337,                 1.4755,                 1.3983,                 1.5282,                 1.5852,                 1.7322,                 1.5346,               0.003697,               0.003697,               0.003697
                    194,                 1.2927,                 1.1072,                 1.2975,                 1.4211,                 1.3528,                 1.3099,                0.67023,                0.54181,                0.54402,                 0.3374,                 1.4733,                 1.3943,                 1.5262,                 1.5851,                 1.7268,                 1.5357,               0.003664,               0.003664,               0.003664
                    195,                 1.2767,                 1.0837,                 1.2832,                 1.4151,                 1.3262,                  1.296,                0.66796,                 0.5444,                0.54583,                0.33725,                 1.4719,                 1.3897,                 1.5257,                 1.5816,                 1.7316,                 1.5374,               0.003631,               0.003631,               0.003631
                    196,                 1.2781,                  1.088,                 1.2831,                 1.4146,                 1.3313,                  1.293,                0.67509,                0.53673,                 0.5453,                0.33755,                 1.4713,                 1.3863,                 1.5259,                 1.5793,                 1.7332,                 1.5364,               0.003598,               0.003598,               0.003598
                    197,                 1.2672,                 1.0843,                 1.2808,                 1.3966,                 1.3189,                 1.2889,                0.67115,                0.54366,                0.54393,                0.33725,                 1.4702,                  1.383,                 1.5256,                  1.577,                 1.7349,                 1.5366,               0.003565,               0.003565,               0.003565
                    198,                 1.2694,                 1.0844,                 1.2777,                 1.4073,                 1.3087,                  1.287,                0.67244,                0.53932,                0.54442,                0.33825,                 1.4684,                 1.3802,                 1.5254,                 1.5741,                 1.7337,                 1.5386,               0.003532,               0.003532,               0.003532
                    199,                 1.2683,                 1.0748,                 1.2779,                 1.4059,                 1.3073,                 1.2895,                0.66972,                 0.5395,                0.54382,                0.33787,                 1.4685,                  1.383,                 1.5252,                 1.5738,                 1.7337,                  1.538,               0.003499,               0.003499,               0.003499
                    200,                 1.2629,                 1.0736,                 1.2726,                 1.4018,                 1.3116,                 1.2868,                0.67324,                0.53563,                0.54385,                0.33852,                 1.4671,                 1.3824,                 1.5245,                 1.5738,                 1.7349,                 1.5388,               0.003466,               0.003466,               0.003466
                    201,                 1.2665,                 1.0809,                 1.2775,                 1.4087,                 1.3068,                   1.29,                0.66752,                0.54229,                0.54365,                0.33872,                 1.4674,                  1.381,                 1.5259,                 1.5725,                 1.7343,                 1.5357,               0.003433,               0.003433,               0.003433
                    202,                 1.2664,                  1.079,                 1.2821,                 1.3968,                 1.3154,                 1.2913,                0.67235,                0.54273,                0.54421,                0.34007,                  1.466,                  1.379,                 1.5254,                 1.5725,                 1.7314,                 1.5356,                 0.0034,                 0.0034,                 0.0034
                    203,                 1.2477,                 1.0678,                 1.2716,                 1.3806,                  1.293,                 1.2818,                0.67293,                0.53288,                0.54652,                0.34106,                 1.4667,                 1.3767,                 1.5252,                 1.5739,                 1.7278,                 1.5343,               0.003367,               0.003367,               0.003367
                    204,                 1.2601,                 1.0744,                 1.2763,                 1.3959,                 1.3036,                  1.289,                0.65951,                0.54564,                0.54769,                0.34078,                 1.4682,                 1.3787,                 1.5263,                 1.5784,                  1.718,                  1.536,               0.003334,               0.003334,               0.003334
                    205,                 1.2585,                 1.0686,                 1.2765,                 1.3889,                 1.2936,                 1.2875,                0.66404,                0.54992,                0.54832,                0.34193,                  1.468,                 1.3775,                 1.5271,                 1.5779,                 1.7136,                 1.5373,               0.003301,               0.003301,               0.003301
                    206,                 1.2496,                 1.0543,                 1.2731,                 1.3854,                 1.2857,                 1.2873,                0.66015,                 0.5486,                0.54896,                0.34253,                 1.4668,                 1.3743,                 1.5254,                 1.5746,                 1.7114,                 1.5384,               0.003268,               0.003268,               0.003268
                    207,                 1.2445,                 1.0476,                 1.2627,                   1.38,                 1.2806,                 1.2787,                0.66086,                0.54837,                0.55058,                0.34474,                 1.4663,                 1.3742,                  1.525,                 1.5737,                  1.711,                  1.534,               0.003235,               0.003235,               0.003235
                    208,                 1.2511,                 1.0624,                 1.2692,                 1.3793,                 1.3012,                 1.2799,                0.65046,                  0.552,                0.55069,                0.34446,                 1.4635,                 1.3738,                 1.5233,                 1.5718,                 1.7108,                  1.534,               0.003202,               0.003202,               0.003202
